From Top,,,
Player #1,e3v819c-20200808T0609-0709.mp4,,
Time,Behavior,Comment,Status
3407.133,Riding the Ball,,STOP
3407.2,Playing w/ Ball,,START
3407.667,Playing w/ Ball,,STOP
3407.933,Rearing,,START
3410.733,Rearing,,STOP
3411,Locomotion,,START
3412.133,Locomotion,,STOP
3412.133,Porthole Interaction,,START
3413,Porthole Interaction,,STOP
3415.133,Rearing,,START
3418.6,Rearing,,STOP
3421.667,Locomotion,,START
3422.533,Locomotion,,STOP
3423.933,Porthole Interaction,,START
3424.133,Porthole Interaction,,STOP
3425.067,Porthole Interaction,,START
3425.867,Porthole Interaction,,STOP
3433.267,Porthole Interaction,,START
3434.067,Locomotion,,START
3434.333,Porthole Interaction,,STOP
3435.733,Locomotion,,STOP
3436.6,Porthole Interaction,,START
3438.667,Porthole Interaction,,STOP
3454.067,Locomotion,,START
3455.333,Locomotion,,STOP
3457.733,Porthole Interaction,,START
3458.267,Porthole Interaction,,STOP
3458.8,Locomotion,,START
3460.333,Locomotion,,STOP
3460.333,Porthole Interaction,,START
3460.8,Porthole Interaction,,STOP
3463.133,Porthole Interaction,,START
3463.8,Porthole Interaction,,STOP
3464.333,Porthole Interaction,,START
3465.067,Porthole Interaction,,STOP
3466.067,Porthole Interaction,,START
3467.467,Porthole Interaction,,STOP
3475,Locomotion,,START
3476.333,Locomotion,,STOP
3477.4,Locomotion,,START
3478.4,Locomotion,,STOP
3482.8,Locomotion,,START
3484.6,Locomotion,,STOP
3486.667,Locomotion,,START
3489.133,Locomotion,,STOP
3489.867,Rearing,,START
3491.867,Rearing,,STOP
3502.867,Rearing,,START
3504.533,Rearing,,STOP
3507.067,Playing w/ Ball,,START
3507.467,Playing w/ Ball,,STOP
3511.733,Playing w/ Ball,,START
3511.933,Playing w/ Ball,,STOP
3512.333,Playing w/ Box,,START
3512.8,Playing w/ Box,,STOP
3513,Locomotion,,START
3513.733,Locomotion,,STOP
3513.8,Locomotion,,START
3514.4,Locomotion,,STOP
3514.533,Locomotion,,START
3515.6,Locomotion,,STOP
3516.467,Rearing,,START
3518.267,Porthole Interaction,,START
3518.8,Porthole Interaction,,STOP
3518.8,Rearing,,STOP
3523.667,Porthole Interaction,,START
3524.267,Porthole Interaction,,STOP
3525.133,Locomotion,,START
3526.733,Locomotion,,STOP
3550.4,Locomotion,,START
3553.667,Locomotion,,STOP
3560.133,Porthole Interaction,,START
3561.533,Porthole Interaction,,STOP
3567.8,SS/Wake,,STOP
